CERCID,RESEARCHER,SITE,SEX,AGE,CHILDREN,FORMALED,MAT1,SEC1,MAT1C,MCONF,OMNI.BG,DIEPUN,MBG,BGPERFHO,OMNI.LG,LGDIEPUN,MLG,LGPERFHO
CERC413,Cohen,Marajo,1,28,2,9,0,1,2,1,1,1,3,4,1,0.5,2.67,NA
CERC422,Cohen,Marajo,0,31,3,12,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CERC527,McNamara,Yasawa,0,74,3,8,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC533,McNamara,Yasawa,1,23,0,10,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC539,McNamara,Yasawa,1,49,7,9,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC549,McNamara,Yasawa,0,73,3,6,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC559,McNamara,Yasawa,1,46,1,11,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC564,McNamara,Yasawa,1,67,1,8,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC566,McNamara,Yasawa,0,52,NA,7,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC571,McNamara,Yasawa,0,72,2,8,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC577,McNamara,Yasawa,1,59,4,11,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC582,McNamara,Yasawa,1,47,NA,15,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC583,McNamara,Yasawa,0,39,NA,11,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC585,McNamara,Yasawa,0,NA,NA,NA,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC586,McNamara,Yasawa,1,36,NA,8,0,1,2,1,1,1,3,NA,0,0.5,1,NA
CERC591,McNamara,Yasawa,0,43,NA,14,0,1,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC437,Purzycki,Tyva Republic,1,44,4,15,0,1,2,1,1,1,3,2,1,1,3,1
CERC438,Purzycki,Tyva Republic,0,41,2,14,0,1,2,1,1,1,3.67,4,1,1,4,4
CERC439,Purzycki,Tyva Republic,0,25,2,16.5,0,1,2,1,1,1,2.33,2,1,1,2,1
CERC442,Purzycki,Tyva Republic,1,46,2,16,0,1,2,1,1,0.5,3,4,0.5,0,4,1
CERC444,Purzycki,Tyva Republic,0,28,2,19,0,1,2,1,1,1,4,4,1,1,4,4
CERC447,Purzycki,Tyva Republic,0,37,4,16,0,1,2,1,1,1,4,4,1,1,4,4
CERC449,Purzycki,Tyva Republic,0,35,3,16,0,1,2,1,1,0.5,4,2,1,0.5,4,4
CERC450,Purzycki,Tyva Republic,0,49,2,16,0,1,2,1,0.5,1,2.33,1,1,1,0,1
CERC451,Purzycki,Tyva Republic,0,34,1,15,0,1,2,1,1,1,3,NA,1,1,2,1
CERC453,Purzycki,Tyva Republic,1,24,2,14,0,1,2,1,1,1,3.33,NA,0.5,0.5,0.67,NA
CERC455,Purzycki,Tyva Republic,1,58,5,19,0,1,2,1,1,1,4,3,1,1,4,1
CERC462,Purzycki,Tyva Republic,0,23,0,15,0,1,2,1,0,0.5,2.33,NA,0.5,0.5,1.33,NA
CERC464,Purzycki,Tyva Republic,0,28,2,17,0,1,2,1,0,0,0,1,0.5,1,2.67,NA
CERC469,Purzycki,Tyva Republic,0,20,0,14,0,1,2,1,1,1,2.67,2,0.5,1,2,NA
CERC474,Purzycki,Tyva Republic,0,22,1,14,0,1,2,1,1,1,2.33,NA,0.5,1,1.33,NA
CERC475,Purzycki,Tyva Republic,1,58,3,17.5,0,1,2,1,1,1,4,2,1,1,4,2
CERC479,Purzycki,Tyva Republic,0,31,2,21,0,1,2,1,1,0.5,2.33,2,1,0.5,3.33,NA
CERC480,Purzycki,Tyva Republic,0,31,2,17,0,1,2,1,1,1,3,3,0,0.5,4,1
CERC481,Purzycki,Tyva Republic,1,27,1,15,0,1,2,1,1,0.5,3.33,0,1,1,3.33,NA
CERC483,Purzycki,Tyva Republic,0,55,3,17,0,1,2,1,1,1,4,4,1,1,4,1
CERC484,Purzycki,Tyva Republic,1,31,2,17,0,1,2,1,1,1,2,NA,1,0.5,0.33,NA
CERC485,Purzycki,Tyva Republic,1,23,0,14,0,1,2,1,1,1,2,2,1,0.5,1.67,1
CERC489,Purzycki,Tyva Republic,1,24,0,14,0,1,2,1,0.5,0.5,4,3,0.5,0.5,3.33,NA
CERC493,Purzycki,Tyva Republic,1,36,2,20,0,1,2,1,0,0.5,2,NA,1,1,2,NA
CERC494,Purzycki,Tyva Republic,0,59,2,16,0,1,2,1,1,0,0,2,1,0.5,3.33,0
CERC496,Purzycki,Tyva Republic,0,51,2,15,0,1,2,1,1,0.5,2.33,2,1,1,2.33,4
CERC501,Purzycki,Tyva Republic,0,63,6,11,0,1,2,1,1,1,3.33,4,0.5,0.5,2.67,4
CERC502,Purzycki,Tyva Republic,0,34,2,18,0,1,2,1,1,0.5,2,NA,1,1,2,1
CERC503,Purzycki,Tyva Republic,0,30,2,17,0,1,2,1,1,1,2.67,3,1,1,2.67,NA
CERC504,Purzycki,Tyva Republic,1,54,3,14,0,1,2,1,1,1,3.33,3,1,1,3,2
CERC506,Purzycki,Tyva Republic,1,31,3,15,0,1,2,1,NA,0,2,NA,0,0,1.33,NA
CERC515,Purzycki,Tyva Republic,1,24,0,16,0,1,2,1,1,1,2.5,1,0.5,0.5,1.67,1
CERC516,Purzycki,Tyva Republic,0,37,1,17,0,1,2,1,1,1,4,2,0,0.5,2,NA
CERC190,Willard,Lovu,0,44,2,11,0,1,2,1,1,1,2.33,1,NA,NA,NA,NA
CERC201,Willard,Lovu,1,20,NA,13,0,1,2,1,1,0.5,3.33,2,NA,NA,NA,NA
CERC202,Willard,Lovu,0,55,4,8,0,1,2,1,1,0.5,2.33,1,NA,NA,NA,NA
CERC252,Willard,Lovu,0,36,1,12,0,1,2,1,1,1,2.33,1,NA,NA,NA,NA
CERC264,Willard,Lovu,1,19,0,9,0,1,2,1,1,1,3.67,1,NA,NA,NA,NA
CERC282,Xygalatas,Mauritius,1,35,2,11,0,1,2,1,1,1,2.67,4,0,0,0,0
CERC297,Xygalatas,Mauritius,1,21,0,11,0,1,2,1,1,1,3,3,1,0,2.33,NA
CERC300,Xygalatas,Mauritius,0,57,3,2,0,1,2,1,1,0.5,0,3,0,0,0,0
CERC304,Xygalatas,Mauritius,1,61,3,6,0,1,2,1,0.5,0.5,3.67,3,0,0.5,0,0
CERC307,Xygalatas,Mauritius,1,41,2,6,0,1,2,1,1,1,2.33,4,1,1,1.67,4
CERC308,Xygalatas,Mauritius,1,33,0,6,0,1,2,1,1,1,0,0,0,0.5,0,0
CERC309,Xygalatas,Mauritius,1,21,0,6,0,1,2,1,0,0.5,2,1,0,0,0,0
CERC310,Xygalatas,Mauritius,1,26,0,6,0,1,2,1,1,1,0,0,0.5,1,1.33,0
CERC313,Xygalatas,Mauritius,1,33,2,6,0,1,2,1,1,1,2,3,0,0,0,0
CERC315,Xygalatas,Mauritius,0,35,2,9,0,1,2,1,1,1,0,4,1,0.5,1.33,0
CERC316,Xygalatas,Mauritius,1,22,0,6,0,1,2,1,1,0.5,3.33,1,0,0,4,0
CERC317,Xygalatas,Mauritius,1,24,0,11,0,1,2,1,1,1,2.33,4,0.5,1,1.33,NA
CERC318,Xygalatas,Mauritius,0,40,2,11,0,1,2,1,1,0,2.33,4,0,0.5,1.33,0
CERC319,Xygalatas,Mauritius,1,78,3,6,0,1,2,1,1,0,1.67,4,0,0.5,1.67,3
CERC320,Xygalatas,Mauritius,0,18,0,6,0,1,2,1,1,1,2.33,4,0,0.5,2.33,0
CERC324,Xygalatas,Mauritius,0,18,0,10,0,1,2,1,1,1,2,3,0.5,1,2.33,0
CERC328,Xygalatas,Mauritius,1,26,0,10,0,1,2,1,1,1,0,3,0.5,0.5,0,0
CERC329,Xygalatas,Mauritius,0,18,0,13,0,1,2,1,1,NA,3,0,0,0,1,0
CERC331,Xygalatas,Mauritius,0,20,0,13,0,1,2,1,1,1,3.33,3,1,1,2.67,0
CERC336,Xygalatas,Mauritius,1,45,2,11,0,1,2,1,1,0.5,3.33,0,0.5,1,2.33,0
CERC337,Xygalatas,Mauritius,1,34,0,6,0,1,2,1,0,0,0,NA,0,0.5,0,NA
CERC340,Xygalatas,Mauritius,0,43,2,3,0,1,2,1,1,0.5,2.33,4,0.5,1,1.67,0
CERC341,Xygalatas,Mauritius,0,24,0,9,0,1,2,1,1,0.5,3,4,1,1,1.67,4
CERC342,Xygalatas,Mauritius,1,56,1,11,0,1,2,1,1,1,2.67,4,1,1,1,2
CERC343,Xygalatas,Mauritius,1,19,0,11,0,1,2,1,1,1,2,0,1,0.5,0.67,0
CERC351,Xygalatas,Mauritius,0,34,2,6,0,1,2,1,1,1,2,4,0,0,0,0
CERC354,Xygalatas,Mauritius,1,36,0,6,0,1,2,1,1,1,4,4,0,0,0,0
CERC355,Xygalatas,Mauritius,1,66,4,7,0,1,2,1,1,0.5,2.33,4,0,0,0.67,0
CERC360,Cohen,Marajo,1,52,0,8,1,0,2,1,1,1,2.67,4,1,0.5,0,4
CERC362,Cohen,Marajo,1,36,3,12,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CERC375,Cohen,Marajo,0,45,3,5,1,0,2,1,1,0.5,4,3,NA,NA,NA,NA
CERC376,Cohen,Marajo,1,18,0,NA,1,0,2,1,1,1,2,4,1,0,1.67,2
CERC380,Cohen,Marajo,0,17,0,NA,1,0,2,1,1,1,3,3,1,1,2.67,3
CERC383,Cohen,Marajo,1,47,1,11,1,0,2,1,1,1,0.33,4,1,1,1,4
CERC384,Cohen,Marajo,1,60,8,5,1,0,2,1,1,0.5,2,4,1,1,3,4
CERC390,Cohen,Marajo,0,26,0,10,1,0,2,1,1,1,2.67,2,0,0,2,NA
CERC394,Cohen,Marajo,0,60,8,2,1,0,2,1,1,1,2.33,4,1,0.5,1.67,3
CERC409,Cohen,Marajo,1,27,3,15,1,0,2,1,1,0.5,3.33,3,NA,NA,NA,NA
CERC414,Cohen,Marajo,1,23,2,7,1,0,2,1,1,0.5,3,NA,0,0,0,NA
CERC416,Cohen,Marajo,1,22,1,11,1,0,2,1,1,1,2.33,3,1,0.5,2.67,3
CERC418,Cohen,Marajo,1,21,0,10,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CERC427,Cohen,Marajo,1,54,2,5,1,0,2,1,1,1,2.67,4,1,0.5,2,3
CERC429,Cohen,Marajo,1,57,3,17,1,0,2,1,1,1,0.67,4,1,1,NA,4
CERC430,Cohen,Marajo,0,22,1,11,1,0,2,1,1,1,3,NA,1,0.5,0,NA
CERC434,Cohen,Marajo,1,21,0,11,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CERC519,McNamara,Yasawa,1,24,0,8,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC524,McNamara,Yasawa,1,58,4,9,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC531,McNamara,Yasawa,1,22,1,10,1,0,2,1,1,1,3,2,0,0.5,0,0
CERC534,McNamara,Yasawa,1,55,4,11,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC538,McNamara,Yasawa,1,21,0,8,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC542,McNamara,Yasawa,1,18,0,4,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC546,McNamara,Yasawa,0,30,0,12,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC547,McNamara,Yasawa,1,20,0,12,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC552,McNamara,Yasawa,1,52,4,10,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC562,McNamara,Yasawa,1,27,NA,11,1,0,2,1,1,1,2.67,4,0,0.5,0,0
CERC563,McNamara,Yasawa,0,35,5,8,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC574,McNamara,Yasawa,0,24,0,10,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC578,McNamara,Yasawa,1,26,0,11,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC580,McNamara,Yasawa,1,39,0,11,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC588,McNamara,Yasawa,0,20,NA,10,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC448,Purzycki,Tyva Republic,1,39,5,16,1,0,2,1,1,0.5,3.33,NA,0.5,0.5,3.33,NA
CERC463,Purzycki,Tyva Republic,0,20,0,14,1,0,2,1,1,0,2.33,2,0,1,2.67,1
CERC472,Purzycki,Tyva Republic,0,33,5,11,1,0,2,1,0.5,0.5,2.67,3,0,1,3.67,1
CERC476,Purzycki,Tyva Republic,0,23,1,16,1,0,2,1,1,1,2.67,1,1,1,2.67,3
CERC477,Purzycki,Tyva Republic,0,26,0,15,1,0,2,1,1,0.5,3,3,1,0.5,2.67,NA
CERC482,Purzycki,Tyva Republic,0,38,3,11.5,1,0,2,1,1,1,2,NA,1,0.5,3,NA
CERC487,Purzycki,Tyva Republic,0,57,5,19,1,0,2,1,1,1,3.67,4,0.5,1,4,NA
CERC492,Purzycki,Tyva Republic,0,31,3,17,1,0,2,1,1,0.5,3.67,2,1,0.5,3.67,2
CERC507,Purzycki,Tyva Republic,0,21,1,13,1,0,2,1,1,0,2.67,4,0.5,0.5,2,3
CERC511,Purzycki,Tyva Republic,0,27,1,14,1,0,2,1,1,0.5,2,1,1,0.5,1,NA
CERC189,Willard,Lovu,0,50,2,8,1,0,2,1,1,1,3.67,2,NA,NA,NA,NA
CERC192,Willard,Lovu,1,18,NA,13,1,0,2,1,1,0.5,3.33,2,NA,NA,NA,NA
CERC207,Willard,Lovu,0,62,0,2,1,0,2,1,1,1,3.33,2,NA,NA,NA,NA
CERC287,Xygalatas,Mauritius,1,28,0,11,1,0,2,1,1,1,3.33,3,1,NA,3.33,1
CERC291,Xygalatas,Mauritius,1,18,0,8,1,0,2,1,0.5,1,1.67,3,0,0.5,2,0
CERC325,Xygalatas,Mauritius,0,31,1,11,1,0,2,1,1,0.5,3,4,1,0.5,1,0
CERC348,Xygalatas,Mauritius,1,33,2,5,1,0,2,1,1,0.5,1.67,0,0,0,0,0
CERC103,Apicella,Hadza,0,28,4,0,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC105,Apicella,Hadza,1,40,4,6,0,1,NA,NA,1,0.5,NA,NA,1,0.5,NA,NA
CERC50,Apicella,Hadza,1,24,2,0,0,1,NA,NA,0.5,1,NA,NA,1,1,NA,NA
CERC54,Apicella,Hadza,1,45,7,6,0,1,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC60,Apicella,Hadza,0,47,5,0,0,1,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC67,Apicella,Hadza,1,42,8,6,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA
CERC72,Apicella,Hadza,1,40,1,0,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC86,Apicella,Hadza,1,25,1,0,0,1,NA,NA,1,0,NA,NA,1,0,NA,NA
CERC87,Apicella,Hadza,1,38,8,0,0,1,NA,NA,0.5,0.5,NA,NA,0.5,0.5,NA,NA
CERC97,Apicella,Hadza,1,53,2,0,0,1,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA
CERC100,Apicella,Hadza,1,47,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC101,Apicella,Hadza,0,47,5,0,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC102,Apicella,Hadza,1,35,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC106,Apicella,Hadza,1,60,8,0,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC107,Apicella,Hadza,1,23,0,7,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC108,Apicella,Hadza,1,45,6,0,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
CERC109,Apicella,Hadza,0,38,5,0,1,0,NA,NA,1,0,NA,NA,1,0,NA,NA
CERC110,Apicella,Hadza,1,30,0,7,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC111,Apicella,Hadza,0,19,1,5,1,0,NA,NA,1,0,NA,NA,1,0,NA,NA
CERC112,Apicella,Hadza,0,42,7,0,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA
CERC45,Apicella,Hadza,1,35,4,0,1,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA
CERC46,Apicella,Hadza,0,42,9,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC47,Apicella,Hadza,0,38,3,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CERC48,Apicella,Hadza,0,40,5,0,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
CERC49,Apicella,Hadza,0,35,8,0,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC51,Apicella,Hadza,1,64,5,0,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC52,Apicella,Hadza,0,35,8,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC53,Apicella,Hadza,0,21,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC55,Apicella,Hadza,1,26,2,0,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC57,Apicella,Hadza,1,33,5,0,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC58,Apicella,Hadza,1,55,4,7,1,0,NA,NA,1,0.5,NA,NA,1,0.5,NA,NA
CERC59,Apicella,Hadza,1,28,0,7,1,0,NA,NA,0,0,NA,NA,0,0,NA,NA
CERC61,Apicella,Hadza,0,38,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC62,Apicella,Hadza,0,30,7,0,1,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA
CERC63,Apicella,Hadza,0,26,6,0,1,0,NA,NA,1,NA,NA,NA,0.5,1,NA,NA
CERC64,Apicella,Hadza,0,22,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC65,Apicella,Hadza,0,49,5,0,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
CERC66,Apicella,Hadza,0,67,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC68,Apicella,Hadza,1,54,6,6,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC69,Apicella,Hadza,1,42,4,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA
CERC70,Apicella,Hadza,1,40,7,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA
CERC71,Apicella,Hadza,0,53,7,0,1,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA
CERC73,Apicella,Hadza,1,29,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC74,Apicella,Hadza,0,21,2,0,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC75,Apicella,Hadza,0,43,2,0,1,0,NA,NA,NA,NA,NA,NA,1,0.5,NA,NA
CERC76,Apicella,Hadza,0,71,4,0,1,0,NA,NA,NA,NA,NA,NA,1,0.5,NA,NA
CERC77,Apicella,Hadza,0,55,1,0,1,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA
CERC78,Apicella,Hadza,1,54,5,0,1,0,NA,NA,1,0,NA,NA,1,0,NA,NA
CERC79,Apicella,Hadza,0,45,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC80,Apicella,Hadza,0,40,1,0,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC81,Apicella,Hadza,1,63,10,0,1,0,NA,NA,1,0,NA,NA,1,0,NA,NA
CERC82,Apicella,Hadza,0,31,1,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
CERC83,Apicella,Hadza,1,31,3,7,1,0,NA,NA,0,1,NA,NA,0,1,NA,NA
CERC84,Apicella,Hadza,1,45,4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC85,Apicella,Hadza,1,47,5,0,1,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA
CERC88,Apicella,Hadza,0,50,8,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC89,Apicella,Hadza,1,35,2,0,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA
CERC90,Apicella,Hadza,1,58,9,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC91,Apicella,Hadza,0,24,3,0,1,0,NA,NA,NA,0,NA,NA,0,0,NA,NA
CERC92,Apicella,Hadza,0,32,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC93,Apicella,Hadza,0,46,2,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
CERC94,Apicella,Hadza,1,40,7,7,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC95,Apicella,Hadza,1,43,4,0,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC96,Apicella,Hadza,0,27,2,3,1,0,NA,NA,1,0.5,NA,NA,1,0.5,NA,NA
CERC98,Apicella,Hadza,1,37,2,0,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CERC99,Apicella,Hadza,1,45,9,7,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA
CERC104,Apicella,Hadza,1,21,0,9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC56,Apicella,Hadza,1,34,1,0,NA,0,NA,NA,1,1,NA,NA,1,1,NA,NA
